InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha
    1290000      20.311607  3.487787e-05       226.771718        56.887827       229.412928        37.913017  0.40  0.22500
    1300000      19.627878  3.338656e-05       230.841396        35.054617       219.033412        36.758600  0.41  0.22582
    1310000      18.970428  3.416521e-05       212.155671        48.212718       209.051020        35.559393  0.49  0.22358
    1320000      18.338065  3.290094e-05       207.156293        36.854767       214.124009        34.375778  0.42  0.22639
    1330000      17.727800  3.291055e-05       233.822549        43.021500       209.763807        33.229073  0.49  0.22358
    1340000      17.137040  3.419299e-05       212.728270        34.800010       202.109325        32.141699  0.42  0.22639
    1350000      16.564096  3.455071e-05       209.931527        43.805776       193.024865        30.989563  0.42  0.22639
    1360000      16.010764  3.303749e-05       174.113593        30.471185       188.966651        30.089974  0.45  0.22664
    1370000      15.482070  3.391821e-05       203.604955        42.113880       193.056956        29.150613  0.47  0.22559
    1380000      14.973123  3.321824e-05       195.853930        30.174493       194.123078        28.213178  0.45  0.22664
    1390000      14.481202  3.398656e-05       191.765194        28.078168       180.675842        27.241104  0.50  0.22222
    1400000      14.005300  3.273484e-05       194.310353        29.611266       188.203043        26.455131  0.42  0.22639
    1410000      13.553307  3.061382e-05       190.962818        28.199000       189.519359        25.829345  0.42  0.22639
    1420000      13.125991  3.231578e-05       228.484477        31.483284       208.103951        25.128212  0.33  0.21247
    1430000      12.718351  3.139742e-05       192.374286        37.451250       182.140673        24.434998  0.48  0.22471
    1440000      12.323700  3.205192e-05       188.479728        31.567028       176.016378        23.625676  0.41  0.22582
    1450000      11.939746  3.203108e-05       187.948675        26.607870       184.745024        22.922122  0.55  0.21189
    1460000      11.569901  3.184372e-05       182.521659        19.374861       180.045871        22.246733  0.44  0.22680
    1470000      11.215487  3.115538e-05       190.753775        41.225009       176.238916        21.670347  0.47  0.22559
    1480000      10.874418  3.114670e-05       182.024166        29.016223       181.507478        21.047339  0.45  0.22664
    1490000      10.546347  2.944678e-05       172.064342        32.870581       165.982107        20.442089  0.40  0.22500
    1500000      10.228940  3.042583e-05       178.505425        24.485754       164.177145        19.858941  0.43  0.22671
    1510000       9.920483  2.782180e-05       156.605511        17.159845       163.194509        19.239911  0.46  0.22624
    1520000       9.622274  3.092001e-05       165.382818        21.027138       155.567276        18.684684  0.41  0.22582
    1530000       9.336077  3.029988e-05       166.384840        21.265157       157.039904        18.236467  0.43  0.22671
    1540000       9.061470  2.921872e-05       154.358361        26.389464       150.075127        17.728205  0.44  0.22680
    1550000       8.793770  2.992671e-05       150.007454        17.942747       150.412044        17.166801  0.46  0.22624
    1560000       8.534929  2.902013e-05       165.014524        17.628559       152.630444        16.696718  0.42  0.22639
    1570000       8.285917  2.976769e-05       157.867789        15.870416       155.026354        16.304382  0.44  0.22680
    1580000       8.047628  2.876500e-05       170.996567        23.813402       154.992574        15.882344  0.47  0.22559
    1590000       7.818212  2.710744e-05       159.166440        21.786569       151.884188        15.462926  0.50  0.22222
    1600000       7.596539  2.897161e-05       147.706356         7.530678       143.298911        15.069871  0.38  0.22264
    1610000       7.383474  2.820684e-05       141.102736        17.147702       145.088100        14.700996  0.43  0.22671
    1620000       7.180169  2.803388e-05       161.900587        14.718368       150.820255        14.388537  0.37  0.22109
    1630000       6.985053  2.777502e-05       139.729909        15.776169       140.197197        14.062644  0.48  0.22471
    1640000       6.798415  2.694383e-05       146.484454        15.054689       145.433128        13.771094  0.46  0.22624
    1650000       6.619198  2.683258e-05       146.666988        25.001143       139.169810        13.442329  0.45  0.22664
    1660000       6.446222  2.644581e-05       141.772287        16.974576       143.496439        13.159974  0.47  0.22559
    1670000       6.279949  2.634748e-05       140.079905        10.427532       140.607748        12.835986  0.47  0.22559
    1680000       6.117816  2.535571e-05       143.744884        12.578372       136.812991        12.518923  0.39  0.22394
    1690000       5.961034  2.614875e-05       138.775125         8.511117       138.168600        12.209462  0.55  0.21189
    1700000       5.808600  2.471889e-05       141.023806        20.555123       138.634672        11.945740  0.40  0.22500
    1710000       5.663295  2.531025e-05       138.828658         9.326416       135.154181        11.713118  0.57  0.20616
    1720000       5.522234  2.547816e-05       137.972406        16.277071       133.199323        11.409742  0.54  0.21442
    1730000       5.384614  2.488947e-05       133.281217        10.785932       136.075964        11.143753  0.56  0.20914
    1740000       5.251393  2.541185e-05       139.922220        16.817366       129.167725        10.891819  0.54  0.21442
    1750000       5.122252  2.391734e-05       138.119299        15.750531       129.305165        10.679058  0.50  0.22222
    1760000       4.997915  2.462861e-05       133.322982        12.115795       131.269749        10.426239  0.44  0.22680
    1770000       4.876825  2.478275e-05       136.642458         9.856529       131.699687        10.182674  0.46  0.22624
    1780000       4.758875  2.446457e-05       129.683974        12.443916       129.790479         9.966404  0.45  0.22664
    1790000       4.645082  2.408470e-05       132.349870         9.825841       128.853564         9.748674  0.43  0.22671
    1800000       4.534507  2.438012e-05       133.107677        12.822644       130.273695         9.535702  0.38  0.22264
    1810000       4.427615  2.372229e-05       136.804345        12.749079       128.424669         9.339532  0.47  0.22559
    1820000       4.323622  2.407798e-05       133.309054        14.624475       128.986227         9.123770  0.39  0.22394
    1830000       4.222665  2.384248e-05       127.015348         9.105944       121.623901         8.947119  0.40  0.22500
    1840000       4.124784  2.366131e-05       126.033008        12.764127       127.308177         8.756862  0.45  0.22664
    1850000       4.030275  2.343848e-05       127.525799        10.753652       123.033762         8.588374  0.42  0.22639
    1860000       3.938971  2.272093e-05       121.773836         7.063481       120.352121         8.423590  0.46  0.22624
    1870000       3.850329  2.261871e-05       133.631730        15.327408       122.044461         8.267997  0.45  0.22664
    1880000       3.764854  2.273236e-05       128.962343        15.731944       119.725770         8.104156  0.44  0.22680
    1890000       3.682178  2.238391e-05       124.215972         6.378256       121.252379         7.967677  0.49  0.22358
    1900000       3.602581  2.197491e-05       118.647802         5.812665       117.909365         7.838708  0.43  0.22671
    1910000       3.525428  2.162675e-05       116.456298         7.348108       115.377814         7.696161  0.42  0.22639
    1920000       3.450867  2.028874e-05       119.463932         5.446315       117.033331         7.542852  0.37  0.22109
